bod_no,organism,time_dark_initial,do_dark_initial,time_dark_final,do_dark_final,time_light_final,do_light_final,weight_g
69,algae,10:00,8.82,15:02,6.09,16:47,18.72,0.1714
51,algae,10:00,8.82,15:09,5.15,16:41,19.35,0.2113
81,algae,10:00,8.82,15:11,3.81,16:53,23.17,0.3218
41,algae,10:00,8.82,15:13,5.75,16:50,17.04,0.1582
93,algae,10:00,8.82,15:15,5.2,16:44,17.07,0.1915
36,macrophyte,10:00,8.82,15:18,7.66,16:55,8.93,0.0549
72,macrophyte,10:00,8.82,15:21,6.8,16:57,8.04,0.2085
37,macrophyte,10:00,8.82,15:22,7.31,16:58,8.45,0.1452
58,macrophyte,10:00,8.82,15:25,7.93,16:59,8.46,0.0608
26,macrophyte,10:00,8.82,15:27,7.33,17:00,7.66,0.1071
