cell,section,quadrat,depth,cell_cover_rank,cat_present,cat_dominant,bulrush_present,bulrush_dominant,richness
1,monday,1,0,6,1,1,0,0,1
1,monday,2,0,6,1,1,0,0,4
1,monday,3,0,6,1,0,0,0,2
1,monday,4,0,3,1,1,0,0,2
1,monday,5,0,6,0,0,1,1,4
2,monday,6,0,6,1,0,0,0,5
2,monday,7,0,6,1,1,0,0,1
2,monday,8,0,6,1,1,0,0,2
2,monday,9,0,5,1,1,1,0,3
2,monday,10,0,6,1,1,0,0,3
1,monday,11,0,6,0,0,1,1,2
1,monday,12,0,3,1,0,1,0,5
1,monday,13,0,6,1,1,0,0,2
1,monday,14,0,5,1,1,1,0,3
1,monday,15,0,5,1,1,1,0,2
2,monday,16,0,6,1,0,0,0,7
2,monday,17,0,6,1,1,1,0,4
2,monday,18,0,6,1,1,1,0,3
2,monday,19,0,6,1,1,1,0,4
2,monday,20,0,6,1,1,1,0,3
1,monday,21,0,4,1,0,0,0,5
1,monday,22,0,2,1,1,0,0,2
1,monday,23,0,3,1,1,0,0,2
1,monday,24,0,4,1,1,0,0,1
1,monday,25,0,4,1,1,0,0,3
2,monday,26,0,6,1,0,0,0,2
2,monday,27,0,2,1,1,0,0,3
2,monday,28,0,3,1,1,0,0,3
2,monday,29,0,3,1,1,0,0,4
2,monday,30,0,2,1,1,0,0,4
1,monday,31,0,6,1,0,0,0,4
1,monday,32,0,6,1,1,0,0,1
1,monday,33,0,5,1,1,0,0,1
1,monday,34,0,5,1,1,0,0,1
1,monday,35,0,5,1,1,0,0,1
2,monday,36,0,5,1,0,1,0,4
2,monday,37,0,4,1,0,1,0,4
2,monday,38,0,3,1,1,1,0,3
2,monday,39,0,5,1,1,2,0,2
2,monday,40,0,4,1,1,1,0,3
1,monday,41,0,1,1,1,0,0,2
1,monday,42,0,2,1,1,0,0,3
1,monday,43,0,2,1,1,0,0,2
1,monday,44,0,1,1,1,0,0,1
1,monday,45,0,6,1,1,0,0,2
2,monday,46,0,5,1,1,0,0,2
2,monday,47,0,6,1,1,0,0,2
2,monday,48,0,5,1,1,0,0,3
2,monday,49,0,5,1,1,0,0,2
2,monday,50,0,5,1,1,0,0,4
1,tuesday,1,0,4,1,1,0,0,1
1,tuesday,2,0,5,1,0,1,1,5
1,tuesday,3,0,6,1,0,1,1,2
1,tuesday,4,0,6,0,0,1,1,1
1,tuesday,5,0,6,0,0,1,1,1
2,tuesday,6,0,4,1,1,1,0,4
2,tuesday,7,0,5,1,1,0,0,1
2,tuesday,8,0,5,1,1,0,0,2
2,tuesday,9,0,4,1,1,0,0,3
2,tuesday,10,0,3,1,1,0,0,4
1,tuesday,11,0,3,1,1,0,0,1
1,tuesday,12,0,6,1,1,0,0,2
1,tuesday,13,0,2,1,1,0,0,3
1,tuesday,14,0,3,1,1,0,0,3
1,tuesday,15,0,6,1,1,0,0,2
2,tuesday,16,0,5,1,1,1,0,5
2,tuesday,17,0,4,1,1,0,0,3
2,tuesday,18,0,6,1,1,0,0,4
2,tuesday,19,0,6,1,1,0,0,3
2,tuesday,20,0,6,1,1,0,0,1
1,tuesday,21,0,2,0,0,0,0,2
1,tuesday,22,0,5,1,1,1,0,4
1,tuesday,23,0,3,1,0,1,0,5
1,tuesday,24,0,2,1,1,0,0,3
1,tuesday,25,0,5,1,1,0,0,1
2,tuesday,26,0,5,1,0,0,0,2
2,tuesday,27,0,4,1,0,0,0,1
2,tuesday,28,0,5,1,0,0,0,2
2,tuesday,29,0,5,1,1,1,0,2
2,tuesday,30,0,5,1,1,0,0,1
1,tuesday,31,0,5,1,0,0,0,7
1,tuesday,32,0,3,1,1,0,0,4
1,tuesday,33,0,6,1,1,0,0,1
1,tuesday,34,0,6,1,1,0,0,1
1,tuesday,35,0,6,1,1,1,0,2
2,tuesday,36,0,6,1,0,1,0,5
2,tuesday,37,0,6,1,1,0,0,4
2,tuesday,38,0,6,1,1,1,0,4
2,tuesday,39,0,6,1,1,1,0,4
2,tuesday,40,0,6,1,1,0,0,3
1,tuesday,41,0,6,0,0,1,1,3
1,tuesday,42,0,6,1,1,0,0,3
1,tuesday,43,0,6,1,1,0,0,1
1,tuesday,44,0,6,1,1,0,0,1
1,tuesday,45,0,4,1,1,1,0,2
2,tuesday,46,0,6,1,1,1,0,5
2,tuesday,47,0,6,1,0,1,1,2
2,tuesday,48,0,6,1,1,1,0,3
2,tuesday,49,0,6,1,1,0,0,1
2,tuesday,50,0,6,1,1,0,0,1
